DATE,LRUNTTTTBRM156S
1998-11-01,13.40805815
1998-12-01,13.29743004
1999-01-01,13.90283536
1999-02-01,13.09923686
1999-03-01,13.65410211
1999-04-01,13.57813806
1999-05-01,13.13256038
1999-06-01,13.67460549
1999-07-01,13.33737215
1999-08-01,13.53087127
1999-09-01,13.35648243
1999-10-01,13.74432493
1999-11-01,13.83278122
1999-12-01,13.1324187
2000-01-01,13.76621748
2000-02-01,14.32407667
2000-03-01,13.49711449
2000-04-01,13.2854158
2000-05-01,13.24534098
2000-06-01,12.89201327
2000-07-01,12.64152357
2000-08-01,12.63120862
2000-09-01,12.0445096
2000-10-01,12.30436473
2000-11-01,11.76351724
2000-12-01,10.44680572
2001-01-01,10.43982339
2001-02-01,9.965407392
2001-03-01,10.65077333
2001-04-01,10.89883784
2001-05-01,11.66998389
2001-06-01,11.11748132
2001-07-01,10.94856185
2001-08-01,10.84049489
2001-09-01,11.1319797
2001-10-01,11.88364554
2001-11-01,12.10247174
2001-12-01,12.33133457
2002-01-01,11.37820968
2002-02-01,12.27821141
2002-03-01,12.2885312407224
2002-04-01,11.8952577390523
2002-05-01,11.5037532388277
2002-06-01,11.431091985614
2002-07-01,11.7247814052647
2002-08-01,11.5995419110096
2002-09-01,11.5601342334868
2002-10-01,11.4327036892032
2002-11-01,11.4696175790279
2002-12-01,12.0446235084555
2003-01-01,11.5811182611128
2003-02-01,11.4200448121437
2003-03-01,11.5240166407454
2003-04-01,11.825873263158
2003-05-01,12.4626298445582
2003-06-01,12.8482066973656
2003-07-01,12.6432864999256
2003-08-01,12.9314181919069
2003-09-01,13.0770695683844
2003-10-01,13.2637622453842
2003-11-01,12.8189693296391
2003-12-01,12.5158485758437
2004-01-01,12.1343982585928
2004-02-01,11.8540519795778
2004-03-01,12.1799763730025
2004-04-01,12.4222691170983
2004-05-01,11.8334026243991
2004-06-01,11.5941758957964
2004-07-01,11.0862370747499
2004-08-01,11.2641173365661
2004-09-01,10.9855018248765
2004-10-01,10.7451774037145
2004-11-01,11.2048505983565
2004-12-01,11.0676816145475
2005-01-01,10.5440087539566
2005-02-01,10.4706415842159
2005-03-01,10.2825935909092
2005-04-01,10.222164106595
2005-05-01,9.8272325956713
2005-06-01,9.25472697061068
2005-07-01,9.32242531911164
2005-08-01,9.32913791832966
2005-09-01,9.73601801066539
2005-10-01,9.86112893770056
2005-11-01,10.1099556641585
2005-12-01,9.67536867418456
2006-01-01,9.61791724474236
2006-02-01,9.8954242208816
2006-03-01,9.87267943417554
2006-04-01,9.84048230946124
2006-05-01,9.8204804490692
2006-06-01,10.269497587465
2006-07-01,10.586528058484
2006-08-01,10.4781129434423
2006-09-01,10.0639119061721
2006-10-01,10.061747258911
2006-11-01,10.0714008865898
2006-12-01,9.69514204504011
2007-01-01,9.62395585419392
2007-02-01,9.67371282560881
2007-03-01,9.62240335978298
2007-04-01,9.6180705788188
2007-05-01,9.77085128150914
2007-06-01,9.52611773758086
2007-07-01,9.32544088388592
2007-08-01,9.44642920684664
2007-09-01,9.07280748708925
2007-10-01,8.93288871170698
2007-11-01,8.72390627317824
2007-12-01,8.63642763285768
2008-01-01,8.27442606365785
2008-02-01,8.51686748705918
2008-03-01,8.11904677574423
2008-04-01,8.07290174188232
2008-05-01,7.60141028528806
2008-06-01,7.71594650095178
2008-07-01,7.98377518141522
2008-08-01,7.52445427042181
2008-09-01,7.71519102237472
2008-10-01,7.67462130101845
2008-11-01,8.02837548717368
2008-12-01,7.88507101994014
2009-01-01,8.46719803934866
2009-02-01,8.28718569171306
2009-03-01,8.53958501758072
2009-04-01,8.43147181728977
2009-05-01,8.47283372900888
2009-06-01,7.94016847812976
2009-07-01,7.84282939938186
2009-08-01,7.99919115152282
2009-09-01,7.75662898748653
2009-10-01,7.72919656080689
2009-11-01,7.80115202364501
2009-12-01,7.90264609274805
2010-01-01,7.46501085624213
2010-02-01,7.19165349429165
2010-03-01,7.17264193308468
2010-04-01,6.87521193708951
2010-05-01,7.14386821141534
2010-06-01,6.83382833142853
2010-07-01,6.81092511169231
2010-08-01,6.66068882929363
2010-09-01,6.25339408798199
2010-10-01,6.22211387339695
2010-11-01,6.09496939577072
2010-12-01,6.15938352218472
2011-01-01,6.23845953924696
2011-02-01,6.21430983618467
2011-03-01,6.09614647695099
2011-04-01,6.10020127605164
2011-05-01,6.08211539159794
2011-06-01,6.0231534367098
2011-07-01,5.91204774725663
2011-08-01,5.91124173631663
2011-09-01,6.03293246362364
2011-10-01,5.89201755262985
2011-11-01,5.5517604763617
2011-12-01,5.55157250105707
2012-01-01,5.67827070989927
2012-02-01,5.6086529718117
2012-03-01,5.86554790970466
2012-04-01,5.7274098915226
2012-05-01,5.54957441403582
2012-06-01,5.68965325902942
2012-07-01,5.27228910349506
2012-08-01,5.2421643132427
2012-09-01,5.41812369256651
2012-10-01,5.44997961734057
2012-11-01,5.23745939128598
2012-12-01,5.41132279387131
2013-01-01,5.60145246314495
2013-02-01,5.43646607184179
2013-03-01,5.33878513314355
2013-04-01,5.50990498109604
2013-05-01,5.55343923286188
2013-06-01,5.77970790232303
2013-07-01,5.49061443129508
2013-08-01,5.21077291015114
2013-09-01,5.41536251155191
2013-10-01,5.28938639495037
2013-11-01,4.95071701962388
2013-12-01,5.09378032048586
2014-01-01,4.93757303671605
2014-02-01,5.00375327932628
2014-03-01,4.75330429306209
2014-04-01,4.61769240077103
2014-05-01,4.68067926529094
2014-06-01,4.66546102604482
2014-07-01,4.77585956484909
2014-08-01,4.93763978521213
2014-09-01,4.86651503331269
2014-10-01,4.77686607485182
2014-11-01,5.17692910797247
2014-12-01,5.07108426417867
2015-01-01,5.46368104701497
2015-02-01,5.71592307472074
2015-03-01,5.83794993015231
2015-04-01,6.08547155978665
2015-05-01,6.4101279274868
2015-06-01,6.70386922684563
2015-07-01,7.30723077388022
2015-08-01,7.43695336583505
2015-09-01,7.53765395649922
2015-10-01,7.9973655383303
2015-11-01,8.00671033488231
